,GEO_ID,NAME,percentage_only_cell_data_plan,percentage_with_computer,percentage_with_computer_and_broadband,percentage_no_vehicle,percentage_public_transportation,percentage_walked,percentage_wfh,percentage_in_labor_pool,percentage_in_same_house_17_and_under,percentage_rent_above_50,percentage_snap,percentage_ssi,percentage_poverty
0,1400000US36067000100,Census Tract 1; Onondaga County; New York,0.07592891760904685,0.9234104046242775,0.9687010954616588,0.005025125628140704,0.0,0.008793969849246231,0.18592964824120603,0.8250497017892644,1.0,0.1674641148325359,0.11127167630057803,0.7804878048780488,0.1318051575931232
36,1400000US36067004500,Census Tract 45; Onondaga County; New York,0.12876712328767123,1.0,0.9034653465346535,0.11783696529459241,0.02744148506860371,0.20984665052461662,0.1880548829701372,0.7009630005068423,0.5617283950617284,0.33958333333333335,0.10767326732673267,0.5135135135135135,0.3330179754020814
37,1400000US36067004600,Census Tract 46; Onondaga County; New York,0.0648202710665881,0.8327661643169665,0.968476357267951,0.0,0.008674698795180723,0.010602409638554217,0.19710843373493975,0.5620592383638928,0.9716535433070866,0.3161094224924012,0.03305785123966942,0.1426256077795786,0.06176961602671119
38,1400000US36067004800,Census Tract 48; Onondaga County; New York,0.060842433697347896,0.9616564417177914,1.0,0.00963855421686747,0.00963855421686747,0.0,0.021686746987951807,0.6382175226586103,0.9230769230769231,0.15,0.032208588957055216,0.053475935828877004,0.04388926401080351
39,1400000US36067004900,Census Tract 49; Onondaga County; New York,0.07543859649122807,0.8793103448275862,0.9875222816399287,0.024967148488830485,0.022339027595269383,0.0,0.11563731931668857,0.651702786377709,0.8104838709677419,0.3584905660377358,0.15673981191222572,0.305668016194332,0.2237442922374429
40,1400000US36067005000,Census Tract 50; Onondaga County; New York,0.01855287569573284,1.0,0.9607843137254902,0.055182699478001494,0.02982848620432513,0.02162565249813572,0.10514541387024609,0.682640586797066,0.8369565217391305,0.34097421203438394,0.08823529411764706,0.3561368209255533,0.11380819737365698
41,1400000US36067005100,Census Tract 51; Onondaga County; New York,0.18413173652694612,0.8194297782470961,0.8273195876288659,0.16433566433566432,0.037296037296037296,0.05710955710955711,0.01282051282051282,0.5863044708545557,0.8722826086956522,0.5166340508806262,0.42555438225976766,0.7182044887780549,0.5139874739039666
42,1400000US36067005200,Census Tract 52; Onondaga County; New York,0.04970178926441352,0.8457142857142858,0.8141891891891891,0.07379518072289157,0.061746987951807226,0.0,0.11897590361445783,0.5741556534508077,0.9511754068716094,0.15863453815261044,0.5871428571428572,0.8115183246073299,0.22683189655172414
43,1400000US36067005300,Census Tract 53; Onondaga County; New York,0.2297872340425532,0.8398876404494382,0.7675585284280937,0.2927461139896373,0.08419689119170984,0.11139896373056994,0.10362694300518134,0.5623486682808717,1.0,0.508637236084453,0.3946629213483146,0.7910798122065728,0.2846638655462185
44,1400000US36067005400,Census Tract 54; Onondaga County; New York,0.24587706146926536,0.8718861209964412,0.8829931972789116,0.2175032175032175,0.2574002574002574,0.10296010296010295,0.06563706563706563,0.5652173913043478,0.8176733780760627,0.4110738255033557,0.4246737841043891,0.7285259809119831,0.4883168316831683
45,1400000US36067005500,Census Tract 55; Onondaga County; New York,0.06646153846153846,0.9389485585076315,0.9704996989765202,0.13116323599808521,0.04547630445189086,0.006701771182383916,0.07324078506462423,0.7753846153846153,0.8753246753246753,0.2985781990521327,0.19728660260033917,0.4295774647887324,0.1933889403768922
46,1400000US36067005601,Census Tract 56.01; Onondaga County; New York,0.04316546762589928,0.9930362116991643,0.9747545582047685,0.039014373716632446,0.054414784394250515,0.060574948665297744,0.11806981519507187,0.7337526205450734,0.9557522123893806,0.17105263157894737,0.06545961002785515,0.27547169811320754,0.1150990099009901
47,1400000US36067005602,Census Tract 56.02; Onondaga County; New York,0.0,0.9253731343283582,0.7419354838709677,0.0,0.11842105263157894,0.0,0.42105263157894735,0.33633268482490275,0.4888888888888889,0.6888888888888889,0.08955223880597014,1.0,0.5706806282722513
48,1400000US36067005700,Census Tract 57; Onondaga County; New York,0.11153846153846154,0.9220246238030095,0.7611275964391692,0.03551912568306011,0.0,0.012295081967213115,0.036885245901639344,0.5632107023411371,0.8359550561797753,0.3313953488372093,0.26265389876880985,0.5870535714285714,0.26093916755602986
49,1400000US36067005800,Census Tract 58; Onondaga County; New York,0.15348101265822786,0.817966903073286,0.8598265895953757,0.4165341812400636,0.37042925278219396,0.0,0.09062003179650238,0.5534114403859407,0.8458961474036851,0.2962328767123288,0.367612293144208,0.7598116169544741,0.49019607843137253
50,1400000US36067005900,Census Tract 59; Onondaga County; New York,0.03333333333333333,0.8647746243739566,0.9054054054054054,0.019834710743801654,0.04297520661157025,0.09586776859504133,0.06611570247933884,0.4939485627836611,0.5348484848484848,0.37398373983739835,0.4657762938230384,0.5484848484848485,0.209529627367135
51,1400000US36067006000,Census Tract 60; Onondaga County; New York,0.13078149920255183,0.8354016982364467,0.9741985926505082,0.07340720221606649,0.0886426592797784,0.02631578947368421,0.03254847645429363,0.6342991386061081,0.9049707602339181,0.2796780684104628,0.19268451992161986,0.5423312883435583,0.23390941597139453
52,1400000US36067006101,Census Tract 61.01; Onondaga County; New York,0.22277722277722278,0.7228915662650602,0.8598039215686275,0.11315789473684211,0.17105263157894737,0.0043859649122807015,0.037719298245614034,0.399876390605686,0.8765306122448979,0.4460856720827179,0.2898653437278526,0.5598491988689915,0.33631785114717405
53,1400000US36067006102,Census Tract 61.02; Onondaga County; New York,0.10030395136778116,0.880061115355233,0.8237847222222222,0.15159944367176634,0.04728789986091794,0.0,0.20445062586926285,0.430028328611898,0.668918918918919,0.1619047619047619,0.22459893048128343,0.1693121693121693,0.21402969790066564
54,1400000US36067006103,Census Tract 61.03; Onondaga County; New York,0.16729559748427672,0.9124877089478859,0.8491379310344828,0.08385370205173952,0.0,0.014272970561998216,0.06333630686886708,0.6128518321826872,1.0,0.0,0.061946902654867256,0.04491017964071856,0.06883720930232558
55,1400000US36067010100,Census Tract 101; Onondaga County; New York,0.06451612903225806,0.954679802955665,0.9669762641898865,0.020104244229337303,0.0,0.0,0.1154132539091586,0.6392609699769053,0.9168207024029574,0.45,0.017733990147783252,0.05913978494623656,0.05060422960725076
56,1400000US36067010200,Census Tract 102; Onondaga County; New York,0.07669108143041792,0.9797160243407708,0.9561076604554866,0.04499799116110888,0.0,0.047408597830454,0.11651265568501407,0.5754838709677419,0.8825231481481481,0.1729667812142039,0.15375253549695742,0.5747320924985899,0.17063364425860406
57,1400000US36067010301,Census Tract 103.01; Onondaga County; New York,0.09488139825218476,0.9745351657235246,0.987557030277893,0.013085399449035813,0.0,0.004132231404958678,0.08333333333333333,0.6896321070234114,0.9224537037037037,0.10534351145038168,0.06224737267582862,0.1105092091007584,0.11092214663643235
58,1400000US36067010321,Census Tract 103.21; Onondaga County; New York,0.026217228464419477,0.989935956084172,0.9870609981515711,0.006765067650676507,0.0,0.0,0.11254612546125461,0.6847599164926931,0.950632911392405,0.0,0.04391582799634035,0.0,0.004789272030651341
59,1400000US36067010322,Census Tract 103.22; Onondaga County; New York,0.049413735343383586,0.9834710743801653,0.9890756302521009,0.0182956186807896,0.0,0.002888781896966779,0.1044776119402985,0.7908689248895434,1.0,0.0,0.043801652892561986,0.01349527665317139,0.016944024205748864
